Scan Date,Scan Time,Target Type,Target Name,Number,Rule,Severity,Result
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.1.21,Verify Permissions on the OpenShift PKI Private Key Files,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.3.1,Ensure Eviction threshold Settings Are Set - evictionHard: imagefs.available,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.3.1,Ensure Eviction threshold Settings Are Set - evictionHard: memory.available,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.3.1,Ensure Eviction threshold Settings Are Set - evictionHard: nodefs.available,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,1.3.1,Ensure Eviction threshold Settings Are Set - evictionHard: nodefs.inodesFree,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,2.7,Configure A Unique CA Certificate for etcd,medium,notapplicable
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,4.1.1,Verify Permissions on the OpenShift Node Service File,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,4.1.2,Verify Group Who Owns The OpenShift Node Service File,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,4.1.2,Verify User Who Owns The OpenShift Node Service File,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,4.1.5,Verify Permissions on The Kubelet Configuration File,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,4.1.6,Verify Group Who Owns The Kubelet Configuration File,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,4.1.6,Verify User Who Owns The Kubelet Configuration File,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,4.1.6,Verify User Who Owns The Kubelet Configuration File,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,4.1.7,Verify Permissions on the Worker Certificate Authority File,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,4.1.8,Verify Group Who Owns the Worker Certificate Authority File,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,4.1.8,Verify User Who Owns the Worker Certificate Authority File,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,4.1.9,Verify Permissions on the Worker Kubeconfig File,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,4.1.10,Verify Group Who Owns The Worker Kubeconfig File,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,4.1.10,Verify User Who Owns The Worker Kubeconfig File,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,4.2.1,Ensure Eviction threshold Settings Are Set - evictionHard: imagefs.available,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,4.2.1,Ensure Eviction threshold Settings Are Set - evictionHard: memory.available,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,4.2.1,Ensure Eviction threshold Settings Are Set - evictionHard: nodefs.available,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,4.2.1,Ensure Eviction threshold Settings Are Set - evictionHard: nodefs.inodesFree,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,4.2.2,Disable Anonymous Authentication to the Kubelet,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,4.2.3,Ensure authorization is set to Webhook,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,4.2.4,kubelet - Configure the Client CA Certificate,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,4.2.6,kubelet - Do Not Disable Streaming Timeouts,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,4.2.7,kubelet - Allow Automatic Firewall Configuration,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,4.2.8,Kubelet - Ensure Event Creation Is Configured,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,4.2.10,kubelet - Enable Certificate Rotation,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,4.2.10,kubelet - Enable Client Certificate Rotation,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,4.2.11,kubelet - Enable Server Certificate Rotation,medium,pass
2024-02-25,10:40:34 +0000,worker,ip-10-0-244-76.us-east-2.compute.internal,4.2.12,Ensure that the Kubelet only makes use of Strong Cryptographic Ciphers,medium,pass
